Date,Month,Quarter,Region,Category,Sales Rep,Channel,Units,Unit Price,Revenue,Cost,Gross Profit
02-Jan-2024,Jan 2024,Q1 2024,Nakuru,Apparel,Henry L.,Online,113,351.33,"39,700.29","19,624.77","20,075.52"
02-Jan-2024,Jan 2024,Q1 2024,Nairobi,Industrial Supplies,Felix R.,Direct,141,204.88,"28,888.08","11,877.48","17,010.60"
04-Jan-2024,Jan 2024,Q1 2024,Mombasa,Industrial Supplies,Felix R.,Online,44,115.50,"5,082.00","2,453.47","2,628.53"
07-Jan-2024,Jan 2024,Q1 2024,Kisumu,Apparel,Carol W.,Walk-in,150,216.22,"32,433.00","18,122.76","14,310.24"
07-Jan-2024,Jan 2024,Q1 2024,Mombasa,Electronics,Henry L.,Online,103,460.91,"47,473.73","32,631.72","14,842.01"
08-Jan-2024,Jan 2024,Q1 2024,Eldoret,FMCG,Esther N.,Direct,18,281.15,"5,060.70","2,560.23","2,500.47"
08-Jan-2024,Jan 2024,Q1 2024,Kisumu,Food & Beverage,David K.,Direct,178,12.02,"2,139.56","1,055.31","1,084.25"
09-Jan-2024,Jan 2024,Q1 2024,Nairobi,Apparel,David K.,Walk-in,182,129.22,"23,518.04","12,173.27","11,344.77"
09-Jan-2024,Jan 2024,Q1 2024,Eldoret,Apparel,Esther N.,Direct,133,408.45,"54,323.85","27,927.26","26,396.59"
11-Jan-2024,Jan 2024,Q1 2024,Kisumu,Apparel,Brian O.,Direct,92,93.35,"8,588.20","5,312.57","3,275.63"
12-Jan-2024,Jan 2024,Q1 2024,Nakuru,Apparel,Alice M.,Distributor,153,45.78,"7,004.34","4,214.55","2,789.79"
15-Jan-2024,Jan 2024,Q1 2024,Kisumu,Electronics,Felix R.,Distributor,40,28.77,"1,150.80",493.59,657.21
16-Jan-2024,Jan 2024,Q1 2024,Kisumu,Industrial Supplies,Esther N.,Direct,72,359.04,"25,850.88","14,170.73","11,680.15"
16-Jan-2024,Jan 2024,Q1 2024,Kisumu,Electronics,Henry L.,Online,154,499.81,"76,970.74","31,489.27","45,481.47"
17-Jan-2024,Jan 2024,Q1 2024,Kisumu,Electronics,David K.,Online,176,247.85,"43,621.60","24,483.41","19,138.19"
18-Jan-2024,Jan 2024,Q1 2024,Eldoret,Food & Beverage,Carol W.,Direct,198,230.03,"45,545.94","19,030.39","26,515.55"
19-Jan-2024,Jan 2024,Q1 2024,Kisumu,FMCG,Alice M.,Distributor,15,164.64,"2,469.60","1,584.18",885.42
19-Jan-2024,Jan 2024,Q1 2024,Nakuru,Industrial Supplies,Carol W.,Online,14,14.54,203.56,112.20,91.36
19-Jan-2024,Jan 2024,Q1 2024,Eldoret,Industrial Supplies,David K.,Online,68,213.97,"14,549.96","7,244.41","7,305.55"
20-Jan-2024,Jan 2024,Q1 2024,Nairobi,Apparel,Esther N.,Direct,170,433.48,"73,691.60","33,208.92","40,482.68"
21-Jan-2024,Jan 2024,Q1 2024,Kisumu,FMCG,David K.,Direct,95,392.26,"37,264.70","16,417.07","20,847.63"
21-Jan-2024,Jan 2024,Q1 2024,Eldoret,Industrial Supplies,David K.,Walk-in,89,124.91,"11,116.99","8,288.14","2,828.85"
22-Jan-2024,Jan 2024,Q1 2024,Nakuru,Food & Beverage,David K.,Online,159,243.06,"38,646.54","26,944.31","11,702.23"
22-Jan-2024,Jan 2024,Q1 2024,Kisumu,Food & Beverage,Grace A.,Online,168,490.21,"82,355.28","34,443.73","47,911.55"
23-Jan-2024,Jan 2024,Q1 2024,Nairobi,Apparel,Carol W.,Online,46,373.20,"17,167.20","9,560.62","7,606.58"
24-Jan-2024,Jan 2024,Q1 2024,Nairobi,FMCG,Carol W.,Online,96,448.32,"43,038.72","17,892.00","25,146.72"
25-Jan-2024,Jan 2024,Q1 2024,Kisumu,Apparel,Brian O.,Online,116,445.85,"51,718.60","25,333.96","26,384.64"
25-Jan-2024,Jan 2024,Q1 2024,Eldoret,Electronics,Brian O.,Direct,17,347.98,"5,915.66","3,573.82","2,341.84"
26-Jan-2024,Jan 2024,Q1 2024,Eldoret,FMCG,Grace A.,Walk-in,65,48.63,"3,160.95","1,879.29","1,281.66"
27-Jan-2024,Jan 2024,Q1 2024,Kisumu,Industrial Supplies,Brian O.,Direct,107,250.96,"26,852.72","14,716.43","12,136.29"
29-Jan-2024,Jan 2024,Q1 2024,Mombasa,Food & Beverage,Esther N.,Distributor,192,292.29,"56,119.68","30,747.06","25,372.62"
30-Jan-2024,Jan 2024,Q1 2024,Eldoret,Industrial Supplies,Grace A.,Distributor,104,129.00,"13,416.00","9,107.21","4,308.79"
